Country,Date,Monthly share of total hashrate (%)
Singapore,2020/2/1,0.065097495
Slovakia,2020/2/1,0.007609602
Slovenia,2020/2/1,0.001646016
South Africa,2020/2/1,0.045527086
South Korea,2020/2/1,0.020651063
Spain,2020/2/1,0.018606885
Sri Lanka,2020/2/1,0.00049252
Suriname,2020/2/1,0.000183485
Sweden,2020/2/1,0.022369375
Switzerland,2020/2/1,0.010123431
Syria,2020/2/1,0.0015878
Tajikistan,2020/2/1,0.000602431
Tanzania,2020/2/1,2.33232E-09
Thailand,2020/2/1,0.330348271
Trinidad and Tobago,2020/2/1,0.01883718
Turkey,2020/2/1,0.043194919
Turkmenistan,2020/2/1,0.0124242
UK,2020/2/1,0.083105866
Ukraine,2020/2/1,0.197586488
United Arab Emirates,2020/2/1,0.082991196
United States,2020/2/1,4.466497647
Puerto Rico,2020/2/1,0.000396668
Uruguay,2020/2/1,0.00060423
Uzbekistan,2020/2/1,0.090824906
Venezuela,2020/2/1,0.455536247
Vietnam,2020/2/1,0.003355929
Zimbabwe,2020/2/1,0.004560725
"Hong Kong SAR,China",2020/2/1,0.252952148
"Macau SAR,China",2020/2/1,2.5131E-05
"Taiwan,China",2020/2/1,0.048616008
China,2020/2/1,72.02970037
Afghanistan,2020/3/1,0.000205099
Albania,2020/3/1,0.00969453
Algeria,2020/3/1,0.003065456
Angola,2020/3/1,0.007281676
Argentina,2020/3/1,0.008977839
Armenia,2020/3/1,0.051634162
Australia,2020/3/1,0.032465804
Austria,2020/3/1,0.016945791
Azerbaijan,2020/3/1,0.027182678
Bahrain,2020/3/1,0.000224846
Bangladesh,2020/3/1,0.002056259
Belarus,2020/3/1,0.012603543
Belgium,2020/3/1,0.002571057
Belize,2020/3/1,1.19002E-07
Benin,2020/3/1,0.000236698
Bolivia,2020/3/1,5.67768E-05
Bosnia & Herzegovina,2020/3/1,0.01849002
Brazil,2020/3/1,0.022719839
Brunei Darussalam,2020/3/1,0.107160371
Bulgaria,2020/3/1,0.012084149
Cameroon,2020/3/1,0.003092903
Canada,2020/3/1,0.793341739
Central African Republic,2020/3/1,2.54162E-08
Chile,2020/3/1,0.000692586
Colombia,2020/3/1,0.036639585
Costa Rica,2020/3/1,0.000152958
Croatia,2020/3/1,0.002908981
Curacao,2020/3/1,0.000102119
Cyprus,2020/3/1,1.0507E-05
Czech Republic,2020/3/1,0.009176868
Denmark,2020/3/1,0.002997838
Dominican Republic,2020/3/1,0.019037951
Ecuador,2020/3/1,0.000129404
Egypt,2020/3/1,0.053311524
El Salvador,2020/3/1,1.51522E-05
Estonia,2020/3/1,0.015947372
Ethiopia,2020/3/1,0.059512244
Finland,2020/3/1,0.070706988
France,2020/3/1,0.208236252
Georgia,2020/3/1,0.134556915
Germany,2020/3/1,0.43291492
Ghana,2020/3/1,0.001516174
Greece,2020/3/1,0.019900386
Guatemala,2020/3/1,0.000555604
Honduras,2020/3/1,0.010639462
Hungary,2020/3/1,0.008100737
Iceland,2020/3/1,0.298691695
India,2020/3/1,0.135266218
Indonesia,2020/3/1,0.010565123
Iran,2020/3/1,3.521671139
Iraq,2020/3/1,0.001622269
Ireland,2020/3/1,0.001453348
Israel,2020/3/1,0.000359203
Italy,2020/3/1,0.044162301
Jamaica,2020/3/1,0
Japan,2020/3/1,0.004976606
Jordan,2020/3/1,0.090995153
Kazakhstan,2020/3/1,5.610648942
Kenya,2020/3/1,5.79126E-07
Kosovo,2020/3/1,0.023904586
Kuwait,2020/3/1,0.090415272
Kyrgyzstan,2020/3/1,0.108623818
Lao People's Democratic Republic,2020/3/1,0.047420588
Latvia,2020/3/1,0.014938631
Lebanon,2020/3/1,0.005861793
Libya,2020/3/1,0.127021041
Lithuania,2020/3/1,0.021754909
Luxembourg,2020/3/1,0.000320161
Macedonia,2020/3/1,0.076167814
Malaysia,2020/3/1,4.10631012
Mali,2020/3/1,0.000436933
Malta,2020/3/1,2.73017E-06
Mauritius,2020/3/1,0.000258704
Mexico,2020/3/1,0.045261114
Moldova,2020/3/1,0.026617316
Mongolia,2020/3/1,0.015350357
Montenegro,2020/3/1,0.007744258
Morocco,2020/3/1,3.25193E-05
Myanmar (Burma),2020/3/1,0.012271369
Namibia,2020/3/1,0
Netherlands,2020/3/1,0.186321809
New Zealand,2020/3/1,0.001714549
Nicaragua,2020/3/1,0
Niger,2020/3/1,0.000233395
Nigeria,2020/3/1,0.001097901
Norway,2020/3/1,0.855311951
Pakistan,2020/3/1,0.000549437
Palestinian Territories,2020/3/1,0
Panama,2020/3/1,0.000939433
Paraguay,2020/3/1,0.241042458
Peru,2020/3/1,0.014148576
Philippines,2020/3/1,0.00079556
Poland,2020/3/1,0.031880716
Portugal,2020/3/1,0.010633924
Qatar,2020/3/1,0.004643858
Romania,2020/3/1,0.015038837
Russia,2020/3/1,5.956745618
Saudi Arabia,2020/3/1,0.003968976
Serbia,2020/3/1,0.021263621
Seychelles,2020/3/1,0.006860362
Singapore,2020/3/1,0.070051351
Slovakia,2020/3/1,0.005860757
Slovenia,2020/3/1,0.00187933
South Africa,2020/3/1,0.046204496
South Korea,2020/3/1,0.029267859
Spain,2020/3/1,0.021690935
Sri Lanka,2020/3/1,0
Suriname,2020/3/1,0.000202046
Sweden,2020/3/1,0.027782325
Switzerland,2020/3/1,0.028708109
Syria,2020/3/1,0.001842595
Tajikistan,2020/3/1,0.003980184
Tanzania,2020/3/1,1.13104E-08
Thailand,2020/3/1,0.261234219
Togo,2020/3/1,0
Trinidad and Tobago,2020/3/1,0.028521218
Tunisia,2020/3/1,3.97016E-09
Turkey,2020/3/1,0.049555854
Turkmenistan,2020/3/1,0.014150842
UK,2020/3/1,0.097100194
Ukraine,2020/3/1,0.174188264
United Arab Emirates,2020/3/1,0.07133667
United States,2020/3/1,7.057081276
Puerto Rico,2020/3/1,0.000451719
Uzbekistan,2020/3/1,0.092521967
Venezuela,2020/3/1,0.466695603
Vietnam,2020/3/1,0.003084426
Zambia,2020/3/1,0
Zimbabwe,2020/3/1,0.005094644
"Hong Kong SAR,China",2020/3/1,0.257027627
"Macau SAR,China",2020/3/1,2.45715E-05
"Taiwan,China",2020/3/1,0.047570861
China,2020/3/1,67.25793782
Afghanistan,2020/4/1,0.000172532
Albania,2020/4/1,0.01163181
Algeria,2020/4/1,0.002963613
Angola,2020/4/1,0.00732824
Argentina,2020/4/1,0.006329339
Armenia,2020/4/1,0.01041512
Australia,2020/4/1,0.054062384
Austria,2020/4/1,0.015204228
Azerbaijan,2020/4/1,0.030053091
Bahrain,2020/4/1,0.000146065
Bangladesh,2020/4/1,0.001198503
Belarus,2020/4/1,0.011520483
Belgium,2020/4/1,0.002452287
Belize,2020/4/1,0.000103761
Benin,2020/4/1,0.000326205
Bolivia,2020/4/1,5.00162E-06
Bosnia & Herzegovina,2020/4/1,0.004827343
Brazil,2020/4/1,0.012191152
Brunei Darussalam,2020/4/1,0.107274663
Bulgaria,2020/4/1,0.012479607
Cambodia,2020/4/1,0
Cameroon,2020/4/1,0.00322738
Canada,2020/4/1,0.815270983
Chile,2020/4/1,0.000845389
Colombia,2020/4/1,0.024055197
Costa Rica,2020/4/1,2.26297E-05
Croatia,2020/4/1,0.004490389
Cuba,2020/4/1,0
Curacao,2020/4/1,0.000187848
Cyprus,2020/4/1,0
Czech Republic,2020/4/1,0.004137422
Denmark,2020/4/1,0.002656353
Dominican Republic,2020/4/1,0.021977924
Ecuador,2020/4/1,0.000129411
Egypt,2020/4/1,0.069447319
El Salvador,2020/4/1,9.64486E-05
Estonia,2020/4/1,0.031944931
Ethiopia,2020/4/1,0.057173677
Finland,2020/4/1,0.090044435
France,2020/4/1,0.183367326
Georgia,2020/4/1,0.127838341
Germany,2020/4/1,0.561413678
Ghana,2020/4/1,0.001733518
Greece,2020/4/1,0.018830451
Guatemala,2020/4/1,0.000514877
Honduras,2020/4/1,0.018079575
Hungary,2020/4/1,0.009919722
Iceland,2020/4/1,0.345191627
India,2020/4/1,0.130657147
Indonesia,2020/4/1,0.010599266
Iran,2020/4/1,3.819469733
Iraq,2020/4/1,0.001533317
Ireland,2020/4/1,0.001284288
Israel,2020/4/1,0.00035794
Italy,2020/4/1,0.271530357
Jamaica,2020/4/1,0
Japan,2020/4/1,0.003564788
Jordan,2020/4/1,9.24023E-05
Kazakhstan,2020/4/1,6.173744061
Kenya,2020/4/1,5.40497E-09
Kosovo,2020/4/1,0.011836737
Kuwait,2020/4/1,0.082218631
Kyrgyzstan,2020/4/1,0.157909796
Lao People's Democratic Republic,2020/4/1,0.048064714
Latvia,2020/4/1,0.017513078
Lebanon,2020/4/1,0.007855271
Libya,2020/4/1,0.1224745
Lithuania,2020/4/1,0.019037172
Luxembourg,2020/4/1,0.000314061
Macedonia,2020/4/1,0.088577913
Madagascar,2020/4/1,5.03135E-09
Malaysia,2020/4/1,4.329695321
Mali,2020/4/1,0.000767737
Mauritius,2020/4/1,0.000311088
Mexico,2020/4/1,0.042666834
Moldova,2020/4/1,0.034603894
Mongolia,2020/4/1,0.013497015
Montenegro,2020/4/1,0.008395413
Morocco,2020/4/1,3.85549E-05
Myanmar (Burma),2020/4/1,0.006757797
Namibia,2020/4/1,1.94778E-08
Netherlands,2020/4/1,0.128450137
New Zealand,2020/4/1,0.002758237
Nigeria,2020/4/1,0.000940681
Norway,2020/4/1,0.47628879
Oman,2020/4/1,1.84499E-05
Pakistan,2020/4/1,0.000318242
Palestinian Territories,2020/4/1,0
Panama,2020/4/1,0.001096865
Paraguay,2020/4/1,0.286830193
Peru,2020/4/1,0.014373435
Philippines,2020/4/1,0.000701749
Poland,2020/4/1,0.040263848
Portugal,2020/4/1,0.01251628
Qatar,2020/4/1,0.005885912
Romania,2020/4/1,0.088776283
Russia,2020/4/1,6.904192549
Saudi Arabia,2020/4/1,0.005168592
Serbia,2020/4/1,0.021924897
Seychelles,2020/4/1,0.006783454
Singapore,2020/4/1,0.067382598
Slovakia,2020/4/1,0.007467068
Slovenia,2020/4/1,0.002086957
South Africa,2020/4/1,0.052217806
South Korea,2020/4/1,0.035564621
Spain,2020/4/1,0.088281292
Sri Lanka,2020/4/1,3.46269E-06
Suriname,2020/4/1,0.000204638
Sweden,2020/4/1,0.028173901
Switzerland,2020/4/1,0.073979483
Syria,2020/4/1,0.001826308
Tajikistan,2020/4/1,0.004050612
Thailand,2020/4/1,0.288185798
Trinidad and Tobago,2020/4/1,0.017786271
Tunisia,2020/4/1,0
Turkey,2020/4/1,0.033202643
Turkmenistan,2020/4/1,0.016896618
UK,2020/4/1,0.100920706
Ukraine,2020/4/1,0.187642581
United Arab Emirates,2020/4/1,0.078640838
United States,2020/4/1,7.241988832
Puerto Rico,2020/4/1,0.000405394
Uzbekistan,2020/4/1,0.081140844
Venezuela,2020/4/1,0.419538779
Vietnam,2020/4/1,0.003671648
Zimbabwe,2020/4/1,0.005309261
"Hong Kong SAR,China",2020/4/1,0.087471659
"Macau SAR,China",2020/4/1,0.000128833
"Taiwan,China",2020/4/1,0.179618016
China,2020/4/1,65.07681601
